updated:{param:relative-date},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2018-06-05,48,67,11,5,0,0
2018-06-04,57,53,15,1,0,0
2018-06-03,26,62,40,5,1,0
2018-06-02,59,50,24,4,1,0
2018-06-01,34,66,34,5,1,0
2018-05-31,39,84,15,3,1,0
2018-05-30,60,62,13,4,1,0
2018-05-29,49,60,16,5,1,0
2018-05-28,69,35,10,1,1,0
2018-05-27,22,49,38,8,2,0
2018-05-26,27,42,41,5,2,0
2018-05-25,45,36,37,4,2,0
2018-05-24,36,58,16,3,2,0
2018-05-23,29,77,12,2,1,0
2018-05-22,40,75,13,4,1,0
2018-05-21,77,38,11,2,1,0
2018-05-20,31,55,31,10,0,0
2018-05-19,34,58,32,8,0,0
2018-05-18,39,56,27,7,0,0
2018-05-17,61,53,10,5,0,0
2018-05-16,63,65,10,6,0,0
2018-05-15,41,71,16,4,0,0
2018-05-14,84,41,16,3,0,0
2018-05-13,39,55,41,2,0,0
2018-05-12,39,70,36,0,0,0
2018-05-11,50,64,26,0,0,0
2018-05-10,64,58,23,0,0,0
2018-05-09,52,72,13,0,0,0
2018-05-08,43,76,12,3,0,0
2018-05-07,41,72,13,0,0,0
2018-05-06,25,46,42,13,1,0
2018-05-05,29,50,31,12,1,0
2018-05-04,30,56,30,7,1,0
2018-05-03,43,70,13,5,1,0
2018-05-02,37,62,17,4,1,0
2018-05-01,40,57,23,0,1,0
2018-04-30,70,38,13,0,1,0
2018-04-29,22,51,37,5,1,0
2018-04-28,31,56,28,3,1,0
2018-04-27,45,61,18,4,0,0
2018-04-26,39,77,7,3,0,0
2018-04-25,47,66,8,4,0,0
2018-04-24,46,58,16,2,0,0
2018-04-23,70,52,13,1,1,0
2018-04-22,20,56,51,10,1,0
2018-04-21,27,59,50,5,0,0
2018-04-20,55,51,38,4,0,0
2018-04-19,26,86,14,5,0,0
2018-04-18,43,70,19,3,0,0
2018-04-17,57,71,12,2,0,0
2018-04-16,82,43,10,5,0,0
2018-04-15,26,60,34,19,3,0
