is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-blocked,S-waiting-on-bors
2022-10-23,0,0,0,0,0
2022-10-22,0,0,0,0,0
2022-10-21,0,0,0,0,0
2022-10-20,0,0,0,0,0
2022-10-19,0,0,0,0,0
2022-10-18,0,0,0,0,0
2022-10-17,0,0,0,0,0
2022-10-16,0,0,0,0,0
2022-10-15,0,0,0,0,0
2022-10-14,0,0,0,0,0
2022-10-13,0,0,0,0,0
2022-10-12,0,0,0,0,0
2022-10-11,0,0,0,0,0
2022-10-10,0,0,0,0,0
2022-10-09,0,0,0,0,0
2022-10-08,0,0,0,0,0
2022-10-07,0,0,0,0,0
2022-10-06,0,0,0,0,0
2022-10-05,0,0,0,0,0
2022-10-04,0,0,0,0,0
2022-10-03,0,0,0,0,0
2022-10-02,0,0,0,0,0
2022-10-01,0,0,0,0,0
2022-09-30,0,0,0,0,0
2022-09-29,0,0,0,0,0
2022-09-28,0,0,0,0,0
2022-09-27,0,0,0,0,0
2022-09-26,0,0,0,0,0
2022-09-25,0,0,0,0,0
2022-09-24,0,0,0,0,0
2022-09-23,0,0,0,0,0
2022-09-22,0,0,0,0,0
2022-09-21,0,0,0,0,0
2022-09-20,0,0,0,0,0
2022-09-19,0,0,0,0,0
2022-09-18,0,0,0,0,0
2022-09-17,0,0,0,0,0
2022-09-16,0,0,0,0,0
2022-09-15,0,0,0,0,0
2022-09-14,0,0,0,0,0
2022-09-13,0,0,0,0,0
2022-09-12,0,0,0,0,0
2022-09-11,0,0,0,0,0
2022-09-10,0,0,0,0,0
2022-09-09,0,0,0,0,0
2022-09-08,0,0,0,0,0
2022-09-07,0,0,0,0,0
2022-09-06,0,0,0,0,0
2022-09-05,0,0,0,0,0
2022-09-04,0,0,0,0,0
2022-09-03,0,0,0,0,0
2022-09-02,0,0,0,0,0
2022-09-01,0,0,0,0,0
2022-08-31,0,0,0,0,0
2022-08-30,0,0,0,0,0
2022-08-29,0,0,0,0,0
2022-08-28,0,0,0,0,0
2022-08-27,0,0,0,0,0
2022-08-26,0,0,0,0,0
2022-08-25,0,0,0,0,0
2022-08-24,0,0,0,0,0
2022-08-23,0,0,0,0,0
2022-08-22,0,0,0,0,0
2022-08-21,0,0,0,0,0
2022-08-20,0,0,0,0,0
2022-08-19,0,0,0,0,0
2022-08-18,0,0,0,0,0
2022-08-17,0,0,0,0,0
2022-08-16,0,0,0,0,0
2022-08-15,0,0,0,0,0
2022-08-14,0,0,0,0,0
2022-08-13,0,0,0,0,0
2022-08-12,0,0,0,0,0
2022-08-11,0,0,0,0,0
2022-08-10,0,0,0,0,0
2022-08-09,0,0,0,0,0
2022-08-08,0,0,0,0,0
2022-08-07,0,0,0,0,0
2022-08-06,0,0,0,0,0
2022-08-05,0,0,0,0,0
2022-08-04,0,0,0,0,0
2022-08-03,0,0,0,0,0
2022-08-02,0,0,0,0,0
2022-08-01,0,0,0,0,0
2022-07-31,0,0,0,0,0
2022-07-30,0,0,0,0,0
2022-07-29,0,0,0,0,0
2022-07-28,0,0,0,0,0
2022-07-27,0,0,0,0,0
2022-07-26,0,0,0,0,0
2022-07-25,0,0,0,0,0
2022-07-24,0,0,0,0,0
2022-07-23,0,0,0,0,0
2022-07-22,0,0,0,0,0
2022-07-21,0,0,0,0,0
2022-07-20,0,0,0,0,0
2022-07-19,0,0,0,0,0
2022-07-18,0,0,0,0,0
2022-07-17,0,0,0,0,0
2022-07-16,0,0,0,0,0
2022-07-15,0,0,0,0,0
2022-07-14,0,0,0,0,0
2022-07-13,0,0,0,0,0
2022-07-12,0,0,0,0,0
2022-07-11,0,0,0,0,0
2022-07-10,0,0,0,0,0
2022-07-09,0,0,0,0,0
2022-07-08,0,0,0,0,0
2022-07-07,0,0,0,0,0
2022-07-06,0,0,0,0,0
2022-07-05,0,0,0,0,0
2022-07-04,0,0,0,0,0
2022-07-03,0,0,0,0,0
2022-07-02,0,0,0,0,0
2022-07-01,0,0,0,0,0
2022-06-30,0,0,0,0,0
2022-06-29,0,0,0,0,0
2022-06-28,0,0,0,0,0
2022-06-27,0,0,0,0,0
2022-06-26,0,0,0,0,0
2022-06-25,0,0,0,0,0
2022-06-24,0,0,0,0,0
2022-06-23,0,0,0,0,0
2022-06-22,0,0,0,0,0
2022-06-21,0,0,0,0,0
2022-06-20,0,0,0,0,0
2022-06-19,0,0,0,0,0
2022-06-18,0,0,0,0,0
2022-06-17,0,0,0,0,0
2022-06-16,0,0,0,0,0
2022-06-15,0,0,0,0,0
2022-06-14,0,0,0,0,0
2022-06-13,0,0,0,0,0
2022-06-12,0,0,0,0,0
2022-06-11,0,0,0,0,0
2022-06-10,0,0,0,0,0
2022-06-09,0,0,0,0,0
2022-06-08,0,0,0,0,0
2022-06-07,0,0,0,0,0
2022-06-06,0,0,0,0,0
2022-06-05,0,0,0,0,0
2022-06-04,0,0,0,0,0
2022-06-03,0,0,0,0,0
2022-06-02,0,0,0,0,0
2022-06-01,0,0,0,0,0
2022-05-31,0,0,0,0,0
2022-05-30,0,0,0,0,0
2022-05-29,0,0,0,0,0
2022-05-28,0,0,0,0,0
2022-05-27,0,0,0,0,0
2022-05-26,0,0,0,0,0
2022-05-25,0,0,0,0,0
2022-05-24,0,0,0,0,0
2022-05-23,0,0,0,0,0
2022-05-22,0,0,0,0,0
2022-05-21,0,0,0,0,0
2022-05-20,0,0,0,0,0
2022-05-19,0,0,0,0,0
2022-05-18,0,0,0,0,0
2022-05-17,0,0,0,0,0
2022-05-16,0,0,0,0,0
2022-05-15,0,0,0,0,0
2022-05-14,0,0,0,0,0
2022-05-13,0,0,0,0,0
2022-05-12,0,0,0,0,0
2022-05-11,0,0,0,0,0
2022-05-10,0,0,0,0,0
2022-05-09,0,0,0,0,0
2022-05-08,0,0,0,0,0
2022-05-07,0,0,0,0,0
2022-05-06,0,0,0,0,0
2022-05-05,0,0,0,0,0
2022-05-04,0,0,0,0,0
2022-05-03,0,0,0,0,0
2022-05-02,0,0,0,0,0
2022-05-01,0,0,0,0,0
2022-04-30,0,0,0,0,0
2022-04-29,0,0,0,0,0
2022-04-28,0,0,0,0,0
2022-04-27,0,0,0,0,0
2022-04-26,0,0,0,0,0
2022-04-25,0,0,0,0,0
2022-04-24,0,0,0,0,0
2022-04-23,0,0,0,0,0
2022-04-22,0,0,0,0,0
2022-04-21,0,0,0,0,0
2022-04-20,0,0,0,0,0
2022-04-19,0,0,0,0,0
2022-04-18,0,0,0,0,0
2022-04-17,0,0,0,0,0
2022-04-16,0,0,0,0,0
2022-04-15,0,0,0,0,0
2022-04-14,0,0,0,0,0
2022-04-13,0,0,0,0,0
2022-04-12,0,0,0,0,0
2022-04-11,0,0,0,0,0
2022-04-10,0,0,0,0,0
2022-04-09,0,0,0,0,0
2022-04-08,0,0,0,0,0
2022-04-07,0,0,0,0,0
2022-04-06,0,0,0,0,0
2022-04-05,0,0,0,0,0
2022-04-04,0,0,0,0,0
2022-04-03,0,0,0,0,0
2022-04-02,0,0,0,0,0
2022-04-01,0,0,0,0,0
2022-03-31,0,0,0,0,0
2022-03-30,0,0,0,0,0
2022-03-29,0,0,0,0,0
2022-03-28,0,0,0,0,0
2022-03-27,0,0,0,0,0
2022-03-26,0,0,0,0,0
2022-03-25,0,0,0,0,0
2022-03-24,0,0,0,0,0
2022-03-23,0,0,0,0,0
2022-03-22,0,0,0,0,0
2022-03-21,0,0,0,0,0
2022-03-20,0,0,0,0,0
2022-03-19,0,0,0,0,0
2022-03-18,0,0,0,0,0
2022-03-17,0,0,0,0,0
2022-03-16,0,0,0,0,0
2022-03-15,0,0,0,0,0
2022-03-14,0,0,0,0,0
2022-03-13,0,0,0,0,0
2022-03-12,0,0,0,0,0
2022-03-11,0,0,0,0,0
2022-03-10,0,0,0,0,0
2022-03-09,0,0,0,0,0
2022-03-08,0,0,0,0,0
2022-03-07,0,0,0,0,0
2022-03-06,0,0,0,0,0
2022-03-05,0,0,0,0,0
2022-03-04,0,0,0,0,0
2022-03-03,0,0,0,0,0
2022-03-02,0,0,0,0,0
2022-03-01,0,0,0,0,0
2022-02-28,0,0,0,0,0
2022-02-27,0,0,0,0,0
2022-02-26,0,0,0,0,0
2022-02-25,0,0,0,0,0
2022-02-24,0,0,0,0,0
2022-02-23,0,0,0,0,0
2022-02-22,0,0,0,0,0
2022-02-21,0,0,0,0,0
2022-02-20,0,0,0,0,0
2022-02-19,0,0,0,0,0
2022-02-18,0,0,0,0,0
2022-02-17,0,0,0,0,0
2022-02-16,0,0,0,0,0
2022-02-15,0,0,0,0,0
2022-02-14,0,0,0,0,0
2022-02-13,0,0,0,0,0
2022-02-12,0,0,0,0,0
2022-02-11,0,0,0,0,0
2022-02-10,0,0,0,0,0
2022-02-09,0,0,0,0,0
2022-02-08,0,0,0,0,0
2022-02-07,0,0,0,0,0
2022-02-06,0,0,0,0,0
2022-02-05,0,0,0,0,0
2022-02-04,0,0,0,0,0
2022-02-03,0,0,0,0,0
2022-02-02,0,0,0,0,0
2022-02-01,0,0,0,0,0
2022-01-31,0,0,0,0,0
2022-01-30,0,0,0,0,0
2022-01-29,0,0,0,0,0
2022-01-28,0,0,0,0,0
2022-01-27,0,0,0,0,0
2022-01-26,0,0,0,0,0
2022-01-25,0,0,0,0,0
2022-01-24,0,0,0,0,0
2022-01-23,0,0,0,0,0
2022-01-22,0,0,0,0,0
2022-01-21,0,0,0,0,0
2022-01-20,0,0,0,0,0
2022-01-19,0,0,0,0,0
2022-01-18,0,0,0,0,0
2022-01-17,0,0,0,0,0
2022-01-16,0,0,0,0,0
2022-01-15,0,0,0,0,0
2022-01-14,0,0,0,0,0
2022-01-13,0,0,0,0,0
2022-01-12,0,0,0,0,0
2022-01-11,0,0,0,0,0
2022-01-10,0,0,0,0,0
2022-01-09,0,0,0,0,0
2022-01-08,0,0,0,0,0
2022-01-07,0,0,0,0,0
2022-01-06,0,0,0,0,0
2022-01-05,0,0,0,0,0
2022-01-04,0,0,0,0,0
2022-01-03,0,0,0,0,0
2022-01-02,0,0,0,0,0
2022-01-01,0,0,0,0,0
2021-12-31,0,0,0,0,0
2021-12-30,0,0,0,0,0
2021-12-29,0,0,0,0,0
2021-12-28,0,0,0,0,0
2021-12-27,0,0,0,0,0
2021-12-26,0,0,0,0,0
2021-12-25,0,0,0,0,0
2021-12-24,0,0,0,0,0
2021-12-23,0,0,0,0,0
2021-12-22,0,0,0,0,0
2021-12-21,0,0,0,0,0
2021-12-20,0,0,0,0,0
2021-12-19,0,0,0,0,0
2021-12-18,0,0,0,0,0
2021-12-17,0,0,0,0,0
2021-12-16,0,0,0,0,0
2021-12-15,0,0,0,0,0
2021-12-14,0,0,0,0,0
2021-12-13,0,0,0,0,0
2021-12-12,0,0,0,0,0
2021-12-11,0,0,0,0,0
2021-12-10,0,0,0,0,0
2021-12-09,0,0,0,0,0
2021-12-08,0,0,0,0,0
2021-12-07,0,0,0,0,0
2021-12-06,0,0,0,0,0
2021-12-05,0,0,0,0,0
2021-12-04,0,0,0,0,0
2021-12-03,0,0,0,0,0
2021-12-02,0,0,0,0,0
2021-12-01,0,0,0,0,0
2021-11-30,0,0,0,0,0
2021-11-29,0,0,0,0,0
2021-11-28,0,0,0,0,0
2021-11-27,0,0,0,0,0
2021-11-26,0,0,0,0,0
2021-11-25,0,0,0,0,0
2021-11-24,0,0,0,0,0
2021-11-23,0,0,0,0,0
2021-11-22,0,0,0,0,0
2021-11-21,0,0,0,0,0
2021-11-20,0,0,0,0,0
2021-11-19,0,0,0,0,0
2021-11-18,0,0,0,0,0
2021-11-17,0,0,0,0,0
2021-11-16,0,0,0,0,0
2021-11-15,0,0,0,0,0
2021-11-14,0,0,0,0,0
2021-11-13,0,0,0,0,0
2021-11-12,0,0,0,0,0
2021-11-11,0,0,0,0,0
2021-11-10,0,0,0,0,0
2021-11-09,0,0,0,0,0
2021-11-08,0,0,0,0,0
2021-11-07,0,0,0,0,0
2021-11-06,0,0,0,0,0
2021-11-05,0,0,0,0,0
2021-11-04,0,0,0,0,0
2021-11-03,0,0,0,0,0
2021-11-02,0,0,0,0,0
2021-11-01,0,0,0,0,0
2021-10-31,0,0,0,0,0
2021-10-30,0,0,0,0,0
2021-10-29,0,0,0,0,0
2021-10-28,0,0,0,0,0
2021-10-27,0,0,0,0,0
2021-10-26,0,0,0,0,0
2021-10-25,0,0,0,0,0
2021-10-24,0,0,0,0,0
2021-10-23,0,0,0,0,0
2021-10-22,0,0,0,0,0
2021-10-21,0,0,0,0,0
2021-10-20,0,0,0,0,0
2021-10-19,0,0,0,0,0
2021-10-18,0,0,0,0,0
2021-10-17,0,0,0,0,0
2021-10-16,0,0,0,0,0
2021-10-15,0,0,0,0,0
2021-10-14,0,0,0,0,0
2021-10-13,0,0,0,0,0
2021-10-12,0,0,0,0,0
2021-10-11,0,0,0,0,0
2021-10-10,0,0,0,0,0
2021-10-09,0,0,0,0,0
2021-10-08,0,0,0,0,0
2021-10-07,0,0,0,0,0
2021-10-06,0,0,0,0,0
2021-10-05,0,0,0,0,0
2021-10-04,0,0,0,0,0
2021-10-03,0,0,0,0,0
2021-10-02,0,0,0,0,0
2021-10-01,0,0,0,0,0
2021-09-30,0,0,0,0,0
2021-09-29,0,0,0,0,0
2021-09-28,0,0,0,0,0
2021-09-27,0,0,0,0,0
2021-09-26,0,0,0,0,0
2021-09-25,0,0,0,0,0
2021-09-24,0,0,0,0,0
2021-09-23,0,0,0,0,0
2021-09-22,0,0,0,0,0
2021-09-21,0,0,0,0,0
2021-09-20,0,0,0,0,0
2021-09-19,0,0,0,0,0
2021-09-18,0,0,0,0,0
2021-09-17,0,0,0,0,0
2021-09-16,0,0,0,0,0
2021-09-15,0,0,0,0,0
2021-09-14,0,0,0,0,0
2021-09-13,0,0,0,0,0
2021-09-12,0,0,0,1,0
2021-09-11,0,0,0,1,0
2021-09-10,1,16,0,0,0
2021-09-09,1,17,0,0,0
2021-09-08,1,14,0,0,0
2021-09-07,1,14,0,0,0
2021-09-06,1,11,0,0,0
2021-09-05,1,11,0,0,0
2021-09-04,1,14,0,0,0
2021-09-03,1,11,0,0,0
2021-09-02,1,10,0,0,0
2021-09-01,1,10,0,0,0
2021-08-31,1,8,0,0,0
2021-08-30,1,10,0,0,0
2021-08-29,1,11,0,0,0
2021-08-28,1,11,0,0,0
2021-08-27,1,11,0,0,0
2021-08-26,1,11,0,0,0
2021-08-25,1,12,0,0,0
2021-08-24,1,9,0,0,0
2021-08-23,1,9,0,0,0
2021-08-22,1,11,0,0,0
2021-08-21,1,11,0,0,0
2021-08-20,1,9,0,0,0
2021-08-19,1,11,0,0,0
2021-08-18,1,10,0,0,0
2021-08-17,1,9,0,0,0
2021-08-16,1,18,0,0,0
2021-08-15,1,15,0,0,0
2021-08-14,1,15,0,0,0
2021-08-13,1,15,0,0,0
2021-08-12,1,15,0,0,0
2021-08-11,1,16,0,0,0
2021-08-10,1,14,0,0,0
2021-08-09,1,12,0,0,0
2021-08-08,1,12,0,0,0
2021-08-07,1,14,0,0,0
2021-08-06,1,11,0,0,0
2021-08-05,1,10,0,0,0
2021-08-04,1,16,0,0,0
2021-08-03,1,15,0,0,0
2021-08-02,1,14,0,0,0
2021-08-01,1,14,0,0,0
2021-07-31,1,14,0,0,0
2021-07-30,1,13,0,0,0
2021-07-29,1,11,0,0,0
2021-07-28,1,8,0,0,0
2021-07-27,1,8,0,0,0
2021-07-26,1,15,0,0,0
2021-07-25,1,14,0,0,0
2021-07-24,1,14,0,0,0
2021-07-23,1,12,0,0,0
2021-07-22,1,11,0,0,0
2021-07-21,1,8,0,0,0
2021-07-20,1,8,0,0,0
2021-07-19,1,8,0,0,0
2021-07-18,1,7,0,0,0
2021-07-17,1,6,0,0,0
2021-07-16,1,6,0,0,0
2021-07-15,1,6,0,0,0
2021-07-14,1,6,0,0,0
2021-07-13,1,6,0,0,0
2021-07-12,1,6,0,0,0
2021-07-11,1,6,0,0,0
2021-07-10,1,6,0,0,0
2021-07-09,1,6,0,0,0
2021-07-08,1,6,0,0,0
2021-07-07,1,6,0,0,0
2021-07-06,1,6,0,0,0
2021-07-05,1,9,0,0,0
2021-07-04,1,8,0,0,0
2021-07-03,1,8,0,0,0
2021-07-02,1,9,0,0,0
2021-07-01,1,8,0,0,0
2021-06-30,1,11,0,0,0
2021-06-29,1,10,0,0,0
2021-06-28,1,6,0,0,0
2021-06-27,1,7,0,0,0
2021-06-26,1,4,0,0,0
2021-06-25,2,7,0,0,0
2021-06-24,2,5,0,0,0
2021-06-23,2,7,0,0,0
2021-06-22,2,6,0,0,0
2021-06-21,2,7,0,0,0
2021-06-20,3,11,0,0,0
2021-06-19,3,16,0,0,0
2021-06-18,3,12,0,0,0
2021-06-17,3,10,0,0,0
2021-06-16,3,12,0,0,0
2021-06-15,3,11,0,0,0
2021-06-14,3,11,0,0,0
2021-06-13,3,9,0,0,0
2021-06-12,3,12,0,0,0
2021-06-11,3,10,0,0,0
2021-06-10,3,9,0,0,0
2021-06-09,3,9,0,0,0
2021-06-08,3,13,0,0,0
2021-06-07,3,12,0,0,0
2021-06-06,3,14,0,0,0
2021-06-05,3,15,0,0,0
2021-06-04,3,17,0,0,0
2021-06-03,3,18,0,0,0
2021-06-02,3,14,0,0,0
2021-06-01,3,14,0,0,0
2021-05-31,3,17,0,0,0
2021-05-30,3,15,0,0,0
2021-05-29,3,15,0,0,0
2021-05-28,3,15,0,0,0
2021-05-27,3,14,0,0,0
2021-05-26,3,14,0,0,0
2021-05-25,3,15,0,0,0
2021-05-24,3,13,0,0,0
2021-05-23,3,13,0,0,0
2021-05-22,3,13,0,0,0
2021-05-21,3,12,0,0,0
2021-05-20,3,14,0,0,0
2021-05-19,3,13,0,0,0
2021-05-18,3,15,0,0,0
2021-05-17,3,16,0,0,0
2021-05-16,3,18,0,0,0
2021-05-15,3,18,0,0,0
2021-05-14,3,21,0,0,0
2021-05-13,3,20,0,0,0
2021-05-12,3,22,0,0,0
2021-05-11,3,20,0,0,0
2021-05-10,3,26,0,0,0
2021-05-09,3,25,0,0,0
2021-05-08,3,21,0,0,0
2021-05-07,3,17,0,0,0
2021-05-06,3,16,0,0,0
2021-05-05,3,14,0,0,0
2021-05-04,3,15,0,0,0
2021-05-03,3,14,0,0,0
2021-05-02,3,15,0,0,0
2021-05-01,3,14,0,0,0
2021-04-30,3,15,0,0,0
2021-04-29,3,16,0,0,0
2021-04-28,3,16,0,0,0
2021-04-27,3,15,0,0,0
2021-04-26,3,14,0,0,0
2021-04-25,3,17,0,0,0
2021-04-24,3,12,0,0,0
2021-04-23,3,15,0,0,0
2021-04-22,3,15,0,0,0
2021-04-21,3,14,0,0,0
2021-04-20,3,14,0,0,0
2021-04-19,3,13,0,0,0
2021-04-18,3,13,0,0,0
2021-04-17,3,12,0,0,0
2021-04-16,3,13,0,0,0
2021-04-15,3,12,0,0,0
2021-04-14,3,14,0,0,0
2021-04-13,3,13,0,0,0
2021-04-12,3,15,0,0,0
2021-04-11,3,15,0,0,0
2021-04-10,3,15,0,0,0
2021-04-09,3,13,0,0,0
2021-04-08,3,14,0,0,0
2021-04-07,3,18,0,0,0
2021-04-06,3,18,0,0,0
2021-04-05,3,18,0,0,0
2021-04-04,3,20,0,0,0
2021-04-03,3,20,0,0,0
2021-04-02,3,20,0,0,0
2021-04-01,3,19,0,0,0
2021-03-31,3,19,0,0,0
2021-03-30,3,21,0,0,0
2021-03-29,3,22,0,0,0
2021-03-28,3,23,0,0,0
2021-03-27,3,19,0,0,0
2021-03-26,3,17,0,0,0
2021-03-25,3,19,0,0,0
2021-03-24,3,19,0,0,0
2021-03-23,3,19,0,0,0
2021-03-22,3,18,0,0,0
2021-03-21,3,21,0,0,0
2021-03-20,3,21,0,0,0
2021-03-19,3,20,0,0,0
2021-03-18,3,17,0,0,0
2021-03-17,3,16,0,0,0
2021-03-16,3,17,0,0,0
2021-03-15,3,17,0,0,0
2021-03-14,3,16,0,0,0
2021-03-13,3,16,0,0,0
2021-03-12,3,16,0,0,0
2021-03-11,3,16,0,0,0
2021-03-10,3,20,0,0,0
2021-03-09,3,23,0,0,0
2021-03-08,3,22,0,0,0
2021-03-07,3,21,0,0,0
2021-03-06,3,19,0,0,0
2021-03-05,3,17,0,0,0
2021-03-04,3,17,0,0,0
2021-03-03,3,19,0,0,0
2021-03-02,3,17,0,0,0
2021-03-01,4,28,0,0,0
2021-02-28,4,29,0,0,0
2021-02-27,5,25,0,1,0
2021-02-26,4,27,0,0,0
2021-02-25,4,28,0,0,0
2021-02-24,4,27,0,0,0
2021-02-23,4,27,0,0,0
2021-02-22,4,27,0,0,0
2021-02-21,4,27,0,0,0
2021-02-20,4,28,0,0,0
2021-02-19,4,35,0,0,0
2021-02-18,4,31,0,0,0
2021-02-17,4,31,0,0,0
2021-02-16,4,28,0,0,0
2021-02-15,4,28,0,0,0
2021-02-14,4,28,0,0,0
2021-02-13,4,34,0,0,0
2021-02-12,4,38,0,0,0
2021-02-11,4,37,0,0,0
2021-02-10,4,30,0,0,0
2021-02-09,4,23,0,0,0
2021-02-08,4,24,0,0,0
2021-02-07,4,22,0,0,0
2021-02-06,4,22,0,0,0
2021-02-05,4,22,0,0,0
2021-02-04,4,22,0,0,0
2021-02-03,4,22,0,0,0
2021-02-02,4,23,0,0,0
2021-02-01,4,26,0,0,0
2021-01-31,4,23,0,0,0
2021-01-30,4,21,0,0,0
2021-01-29,4,21,0,0,0
2021-01-28,4,23,0,0,0
2021-01-27,4,22,0,0,0
2021-01-26,4,22,0,0,0
2021-01-25,4,23,0,0,0
2021-01-24,4,23,0,0,0
2021-01-23,4,23,0,0,0
2021-01-22,4,22,0,0,0
2021-01-21,4,24,0,0,0
2021-01-20,4,23,0,0,0
2021-01-19,4,20,0,0,0
2021-01-18,4,20,0,0,0
2021-01-17,4,20,0,0,0
2021-01-16,4,20,0,0,0
2021-01-15,4,21,0,0,0
2021-01-14,4,25,0,0,0
2021-01-13,4,26,0,0,0
2021-01-12,4,24,0,0,0
2021-01-11,4,26,0,0,0
2021-01-10,4,26,0,1,0
2021-01-09,4,24,0,1,0
2021-01-08,4,24,0,1,0
2021-01-07,4,25,0,1,0
2021-01-06,4,26,0,1,0
2021-01-05,4,25,0,1,0
2021-01-04,4,25,0,1,0
2021-01-03,4,25,0,1,0
2021-01-02,4,25,0,1,0
2021-01-01,4,24,0,1,0
2020-12-31,4,25,0,1,0
2020-12-30,4,28,0,1,0
2020-12-29,4,27,0,1,0
2020-12-28,4,29,0,1,0
2020-12-27,4,28,0,1,0
2020-12-26,4,23,0,1,0
2020-12-25,4,22,0,1,0
2020-12-24,5,22,0,1,0
2020-12-23,5,22,0,1,0
2020-12-22,4,24,0,1,0
2020-12-21,4,25,0,1,0
2020-12-20,4,24,0,1,0
2020-12-19,4,26,0,1,0
2020-12-18,4,24,0,1,0
2020-12-17,4,21,0,0,0
2020-12-16,4,21,0,0,0
2020-12-15,4,22,0,0,0
2020-12-14,4,23,0,0,0
2020-12-13,4,24,0,0,0
2020-12-12,4,24,0,0,0
2020-12-11,4,25,0,0,0
2020-12-10,4,24,0,0,0
2020-12-09,4,23,0,0,0
2020-12-08,4,23,0,0,0
2020-12-07,4,23,0,0,0
2020-12-06,3,27,0,0,0
2020-12-05,3,26,0,0,0
2020-12-04,3,26,0,0,0
2020-12-03,3,23,0,0,0
2020-12-02,3,26,0,0,0
2020-12-01,3,21,0,0,0
2020-11-30,3,22,0,0,0
2020-11-29,3,21,0,0,0
2020-11-28,3,21,0,0,0
2020-11-27,3,21,0,0,0
2020-11-26,3,23,0,0,0
2020-11-25,3,23,0,0,0
2020-11-24,3,22,0,0,0
2020-11-23,3,22,0,0,0
2020-11-22,3,22,0,0,0
2020-11-21,3,23,0,0,0
2020-11-20,3,24,0,0,0
2020-11-19,3,23,0,0,0
2020-11-18,3,23,0,0,0
2020-11-17,3,23,0,0,0
2020-11-16,3,22,0,0,0
2020-11-15,3,23,0,0,0
2020-11-14,3,23,0,0,0
2020-11-13,3,24,0,0,0
2020-11-12,3,24,0,0,0
2020-11-11,3,24,0,0,0
2020-11-10,3,23,0,0,0
2020-11-09,3,23,0,0,0
2020-11-08,3,27,0,0,0
